"","monthly.returns","monthly.returns.1","monthly.returns.2","monthly.returns.3","monthly.returns.4","monthly.returns.5","monthly.returns.6","monthly.returns.7","monthly.returns.8"
"22",0.0412772064154978,0.0244838109576981,0.0348888003330916,0.0704331158643847,-0.000197590015254989,-0.000970964529990237,0.0427045561271915,0.0454546074940436,0.00211110951089188
"23",0.0146718076819223,0.00534931980203535,-0.00950249376873469,0.000800654904947296,0.0136211063804068,0.00220519334387514,0.0174563892043478,-0.0015868452603256,0.00445057796495019
"24",0.0239726927760835,0.0262787073623303,0.0399548673169687,0.0319999662848189,1.08444477842085e-07,7.10401472605593e-05,0.0232843056698226,0.0247934812176764,0.00315211501266921
"25",0.0195340533918353,0.0132900879572484,0.0191170093741819,0.0271318125710229,0.00266599875391393,0.000165704400238331,0.0193801356453929,0.0400123161525381,0.00198074326402842
"26",-0.0084310295386516,-0.00178053726554794,-0.015498042933652,0.0109434440039711,-0.000472150634340696,-0.000686590993636882,-0.0024814205507796,-0.0214732478434906,0.000815485146106854
"27",0.00542200363114431,0.0241318102537633,0.0158506084492531,0.0278088459123369,0.00270663618108813,0.00023695932483081,0.00523700090389045,0.000609562517944973,0.00069826274447049
"28",0.0123277578322936,0.0145516845461431,0.0266739037381938,0.0438116114437941,-0.00245219462967639,0.000248795942948687,0.021385893279769,0.0165281400177897,0.000814493013030271
"29",0.062286701573067,0.0701825392828925,0.0675973928194031,0.0372845381756501,-0.00621175816553809,0.000118488386457782,0.0462464904744797,0.0531016615173996,0.000698290824287628
"30",0.0169821690998686,0.0164898167715781,0.0138629702427324,-0.0128856833061087,0.00590857765924024,0.000604163771105393,0.00661199141679236,0.0147289594812448,0.000698044093439432
"31",0.0441409523536997,0.0403603709526863,0.0511565705711907,0.0130538916194289,0.000985327313847373,0.000331638625848507,0.0333735630759942,0.0432365154404846,0.000698278281322073
"32",0.0275847094541,0.00089876418718271,-0.00591497078334824,0.0501864966965122,0.0096859093389694,0.000686739695234362,0.0159726278806425,0.0109533035928178,0.00186085614515474
"33",0.0262100676657655,0.0246026589998352,0.0384901447008195,-0.0301904928456805,-0.0200111716655335,-0.00133742249957947,0.0216606542730249,0.0325035841305077,-0.00174183677347084
"34",-0.00274746395575776,-0.0215666852803514,-0.0138470128733574,-0.0267793879722825,-0.0156544317510288,-0.000983843219337532,-0.00319069535873184,-0.0127622743855388,-0.00407409947042481
"35",0.0423412334243249,0.0569244823384967,0.0638143160695765,0.0532286005448708,0.00269135834086631,0.00162589703916072,0.0414942578027593,0.0586037707073055,0.00187174896208542
"36",-0.0354440899961136,-0.0329277234598412,-0.0377374912285413,-0.0195526105532038,-0.00826376900340597,-0.000971733225137772,-0.0201964682580504,-0.0181817673433787,-0.000583715938068718
