"","method","est.period","n.win.sector","Ave.CAGR","std.dev","Sharpe.ratio"
"83","Sector Momentum",4,14,0.0859904428545523,0.310157249248902,0.277247889781047
"84","Sector Momentum",4,15,0.0857085237823304,0.309389517813897,0.277024652896888
"85","Sector Momentum",4,16,0.0852704545458978,0.306952897102948,0.277796545824095
"86","Sector Momentum",4,17,0.0862025324977727,0.307159588502424,0.280644120270048
"87","Sector Momentum",4,18,0.0867257215970086,0.309520358338055,0.280193917009774
"88","Sector Momentum",4,19,0.0826499890989049,0.309590298389179,0.266965694755097
"89","Sector Momentum",4,20,0.0857475567668047,0.313267033515127,0.273720333112115
"90","Sector Momentum",4,21,0.0844820207459362,0.317182504399593,0.266351452473255
"91","Sector Momentum",4,22,0.0876663597262617,0.316904639028163,0.276633248396439
"92","Sector Momentum",4,23,0.0877272110377462,0.315477161420247,0.278077850842853
"93","Sector Momentum",5,1,0.12933025943978,0.524163464694329,0.246736501398853
"94","Sector Momentum",5,2,0.0684423126636471,0.373309489479371,0.183339332624785
"95","Sector Momentum",5,3,0.0878948708448592,0.328222137902428,0.267790805966257
"96","Sector Momentum",5,4,0.0797996984451648,0.310528454431712,0.256980309875961
"97","Sector Momentum",5,5,0.080969782575019,0.303545012836967,0.266747201076592
"98","Sector Momentum",5,6,0.0783285005838133,0.291353688645524,0.268843346202189
"99","Sector Momentum",5,7,0.0776148745276676,0.298072468716715,0.260389276681007
"100","Sector Momentum",5,8,0.0787246042171414,0.295877118432566,0.266071957960763
"101","Sector Momentum",5,9,0.0720335464365862,0.296091231581393,0.243281592811318
"102","Sector Momentum",5,10,0.0722844455287285,0.29483142510438,0.245172119977161
"103","Sector Momentum",5,11,0.0740233289161729,0.29136012523867,0.254061288776342
"104","Sector Momentum",5,12,0.0748008973957023,0.285648958158818,0.261863014932174
"105","Sector Momentum",5,13,0.0731145556442079,0.283804965691338,0.257622538302329
"106","Sector Momentum",5,14,0.0742520076687826,0.289342669154715,0.256623082539821
"107","Sector Momentum",5,15,0.0744306177661394,0.290648154619202,0.256084948702517
"108","Sector Momentum",5,16,0.0766010183953982,0.287570298612058,0.266373192103318
"109","Sector Momentum",5,17,0.0767206784824949,0.28981373347011,0.264724095590203
"110","Sector Momentum",5,18,0.0756663399025204,0.294438078157717,0.256985578685884
"111","Sector Momentum",5,19,0.0809074382565355,0.298082809531769,0.271426045613384
"112","Sector Momentum",5,20,0.0796694847741745,0.296661934915838,0.268553108428881
"113","Sector Momentum",5,21,0.0850952536499792,0.299717067890404,0.283918611138608
"114","Sector Momentum",5,22,0.084132649319287,0.300595359882608,0.279886719981784
"115","Sector Momentum",5,23,0.0839814629660721,0.301319390710209,0.278712441201106
"116","Sector Momentum",6,1,0.0532736687293401,0.409943590801404,0.129953656856044
"117","Sector Momentum",6,2,0.0705355964008284,0.338779355386227,0.208205120174498
"118","Sector Momentum",6,3,0.0953949415566939,0.311271607299776,0.306468496706871
"119","Sector Momentum",6,4,0.0764990900431733,0.325764889246581,0.234829143865375
"120","Sector Momentum",6,5,0.0664585220034671,0.311123324859663,0.213608291931967
"121","Sector Momentum",6,6,0.0743919468938888,0.308680213985314,0.241000049641757
"122","Sector Momentum",6,7,0.0895791926517195,0.301053558704695,0.297552345958441
"123","Sector Momentum",6,8,0.093121803652539,0.287090661068327,0.324363750830531
